transaction_id,user_id,transaction_date,amount,type,channel
1,433,01-06-2021,4395.71,Bill,Mobile
2,459,29-12-2020,5328.78,Transfer,Web
3,109,31-01-2018,9022.6,Payment,Mobile
4,139,20-07-2022,560.96,Transfer,Branch
5,461,13-10-2020,5476,Payment,Mobile
6,92,17-02-2023,9294.79,Bill,Mobile
7,493,25-07-2024,2150.87,Transfer,ATM
8,476,04-01-2022,861.68,Transfer,Web
9,291,30-08-2019,8363.04,Bill,Branch
10,197,13-11-2020,7580.53,Transfer,Mobile
11,257,31-12-2019,7480.02,Bill,Mobile
12,51,08-12-2018,4427.17,Transfer,Branch
13,310,19-08-2019,7713.16,Payment,Mobile
14,497,09-01-2020,7758.19,Transfer,Branch
15,402,08-09-2022,9926.6,Bill,Web
16,183,29-01-2019,5575.07,Bill,ATM
17,96,09-04-2022,6828.98,Payment,Mobile
18,44,14-12-2020,7744.46,Bill,Web
19,366,31-03-2022,827.72,Bill,Web
20,195,16-04-2019,7145.6,Payment,Mobile
21,379,30-06-2024,3957.26,Bill,Mobile
22,47,12-09-2018,151.43,Bill,ATM
23,185,20-11-2018,7637.33,Transfer,Web
24,45,13-10-2024,1955.18,Bill,ATM
25,53,15-06-2023,359.99,Bill,Mobile
26,306,01-06-2021,6020.63,Bill,ATM
27,7,23-11-2023,2989.29,Bill,Mobile
28,372,17-12-2020,9021.25,Transfer,Web
29,351,19-03-2022,3869.25,Transfer,Branch
30,155,23-08-2022,2757.23,Transfer,Mobile
31,86,27-07-2021,4403.3,Bill,Branch
32,248,26-12-2023,7848.4,Bill,Branch
33,484,17-06-2018,2541.24,Payment,Mobile
34,305,24-06-2022,6205.02,Bill,Mobile
35,70,02-02-2018,3116.11,Bill,Branch
36,431,29-10-2024,6239.9,Bill,ATM
37,172,02-02-2021,4363.1,Payment,Mobile
38,154,09-11-2023,3274.59,Payment,Mobile
39,246,01-08-2023,3210.41,Bill,Branch
40,150,20-06-2019,7375.26,Payment,Mobile
41,496,28-03-2020,5801.2,Transfer,Branch
42,193,06-11-2020,2874.97,Bill,Branch
43,59,30-01-2021,9327.46,Transfer,Web
